"season","week","game_id","lead_changes"
2005,2,2005091805,2
2005,2,2005091807,1
2005,2,2005091808,1
2005,2,2005091809,1
2005,2,2005091810,1
2005,2,2005091811,2
2005,2,2005091812,1
2005,2,2005091813,4
2005,2,2005091814,3
2005,2,2005091900,2
2005,2,2005091901,1
2005,3,2005092500,2
2005,3,2005092501,2
2005,3,2005092502,1
2005,3,2005092503,1
2005,3,2005092504,4
2005,3,2005092505,1
2005,3,2005092506,3
2005,3,2005092507,1
2005,3,2005092508,3
2005,3,2005092509,2
2005,3,2005092510,2
2005,3,2005092511,4
2005,3,2005092512,2
2005,3,2005092600,1
2005,4,2005100200,2
2005,4,2005100201,1
2005,4,2005100202,3
2005,4,2005100203,3
2005,4,2005100204,1
2005,4,2005100205,2
2005,4,2005100206,6
2005,4,2005100207,3
2005,4,2005100208,1
2005,4,2005100209,1
2005,4,2005100210,1
2005,4,2005100211,1
2005,4,2005100212,2
2005,4,2005100300,2
2005,5,2005100900,1
2005,5,2005100901,4
2005,5,2005100902,1
2005,5,2005100903,2
2005,5,2005100904,2
2005,5,2005100905,4
2005,5,2005100906,4
2005,5,2005100907,1
2005,5,2005100908,1
2005,5,2005100909,5
2005,5,2005100910,1
2005,5,2005100911,2
2005,5,2005100912,1
2005,5,2005101000,5
2005,6,2005101600,6
2005,6,2005101601,4
2005,6,2005101602,4
2005,6,2005101603,1
2005,6,2005101604,4
2005,6,2005101605,1
2005,6,2005101606,2
2005,6,2005101607,3
2005,6,2005101608,5
2005,6,2005101609,2
2005,6,2005101610,1
2005,6,2005101611,1
2005,6,2005101612,1
2005,6,2005101700,2
2005,7,2005102100,1
2005,7,2005102300,4
2005,7,2005102301,3
2005,7,2005102302,2
2005,7,2005102304,2
2005,7,2005102305,2
2005,7,2005102306,3
2005,7,2005102307,1
2005,7,2005102308,2
2005,7,2005102309,1
2005,7,2005102310,3
2005,7,2005102311,4
2005,7,2005102312,2
2005,7,2005102400,1
2005,8,2005103000,3
2005,8,2005103001,3
2005,8,2005103002,4
2005,8,2005103003,2
2005,8,2005103004,5
2005,8,2005103005,2
2005,8,2005103006,1
2005,8,2005103007,1
2005,8,2005103008,1
2005,8,2005103009,1
2005,8,2005103010,1
2005,8,2005103011,2
2005,8,2005103012,4
2005,8,2005103100,5
2005,9,2005110600,2
2005,9,2005110601,1
2005,9,2005110602,5
2005,9,2005110603,2
2005,9,2005110604,1
2005,9,2005110605,3
2005,9,2005110606,5
2005,9,2005110607,1
2005,9,2005110608,2
2005,9,2005110609,1
2005,9,2005110610,2
2005,9,2005110611,1
2005,9,2005110612,3
2005,9,2005110700,2
2005,10,2005111300,1
2005,10,2005111301,2
2005,10,2005111302,1
2005,10,2005111303,2
2005,10,2005111304,2
2005,10,2005111305,4
2005,10,2005111306,2
2005,10,2005111307,4
2005,10,2005111308,1
2005,10,2005111309,1
2005,10,2005111310,2
2005,10,2005111311,2
2005,10,2005111312,2
2005,10,2005111400,3
2005,11,2005112000,5
2005,11,2005112001,1
2005,11,2005112002,1
2005,11,2005112003,1
2005,11,2005112004,4
2005,11,2005112005,1
2005,11,2005112006,1
2005,11,2005112007,2
2005,11,2005112008,1
2005,11,2005112009,5
2005,11,2005112010,2
2005,11,2005112011,1
2005,11,2005112012,1
2005,11,2005112013,3
2005,11,2005112014,1
2005,11,2005112100,4
2005,12,2005112400,1
2005,12,2005112401,4
2005,12,2005112700,1
2005,12,2005112701,4
2005,12,2005112702,1
2005,12,2005112703,1
2005,12,2005112704,1
2005,12,2005112705,4
2005,12,2005112706,5
2005,12,2005112707,2
2005,12,2005112708,1
2005,12,2005112709,2
2005,12,2005112710,3
2005,12,2005112711,4
2005,12,2005112712,4
2005,12,2005112800,1
2005,13,2005120400,2
2005,13,2005120401,2
2005,13,2005120402,4
2005,13,2005120403,1
2005,13,2005120404,3
2005,13,2005120405,6
2005,13,2005120406,3
2005,13,2005120407,2
2005,13,2005120408,1
2005,13,2005120409,1
2005,13,2005120410,5
2005,13,2005120411,2
2005,13,2005120412,6
2005,13,2005120413,2
2005,13,2005120414,3
2005,13,2005120500,1
2005,14,2005121100,1
2005,14,2005121101,4
2005,14,2005121102,3
2005,14,2005121103,1
2005,14,2005121104,1
2005,14,2005121105,1
2005,14,2005121106,2
2005,14,2005121107,1
2005,14,2005121108,4
2005,14,2005121109,1
2005,14,2005121110,4
2005,14,2005121111,2
2005,14,2005121112,6
2005,14,2005121113,2
2005,14,2005121114,2
2005,14,2005121200,3
2005,15,2005121700,1
2005,15,2005121701,3
2005,15,2005121702,2
2005,15,2005121800,4
2005,15,2005121801,2
2005,15,2005121802,1
2005,15,2005121803,3
2005,15,2005121804,2
2005,15,2005121805,3
2005,15,2005121806,3
2005,15,2005121807,4
2005,15,2005121808,1
2005,15,2005121809,2
2005,15,2005121810,4
2005,15,2005121811,2
2005,15,2005121900,1
2005,16,2005122400,5
2005,16,2005122401,8
2005,16,2005122402,5
2005,16,2005122403,5
2005,16,2005122404,6
2005,16,2005122405,3
2005,16,2005122406,1
2005,16,2005122407,2
2005,16,2005122408,3
2005,16,2005122409,2
2005,16,2005122410,1
2005,16,2005122411,2
2005,16,2005122412,1
2005,16,2005122500,2
2005,16,2005122501,4
2005,16,2005122600,2
2005,17,2005123100,1
2005,17,2005123101,2
2005,17,2006010100,1
2005,17,2006010101,2
2005,17,2006010102,6
2005,17,2006010103,1
2005,17,2006010104,2
2005,17,2006010105,2
2005,17,2006010106,3
2005,17,2006010107,2
2005,17,2006010108,1
2005,17,2006010109,3
2005,17,2006010110,1
2005,17,2006010111,5
2005,17,2006010112,5
2005,17,2006010113,3
2006,1,2006090700,4
2006,1,2006091000,2
2006,1,2006091001,1
2006,1,2006091002,3
2006,1,2006091003,3
2006,1,2006091004,2
2006,1,2006091005,3
2006,1,2006091006,1
2006,1,2006091007,1
2006,1,2006091008,2
2006,1,2006091009,2
2006,1,2006091010,1
2006,1,2006091011,2
2006,1,2006091012,1
2006,1,2006091100,4
2006,1,2006091101,1
2006,2,2006091700,1
2006,2,2006091701,1
2006,2,2006091702,1
2006,2,2006091703,1
2006,2,2006091704,3
2006,2,2006091705,1
2006,2,2006091706,1
2006,2,2006091707,4
2006,2,2006091708,3
2006,2,2006091709,3
2006,2,2006091710,1
2006,2,2006091711,2
2006,2,2006091712,1
2006,2,2006091713,1
2006,2,2006091714,1
2006,2,2006091800,1
2006,3,2006092400,3
2006,3,2006092401,3
2006,3,2006092402,2
2006,3,2006092403,2
2006,3,2006092404,4
2006,3,2006092405,5
2006,3,2006092406,4
2006,3,2006092407,5
2006,3,2006092408,3
2006,3,2006092409,2
2006,3,2006092410,1
2006,3,2006092411,1
2006,3,2006092412,1
2006,3,2006092500,1
2006,4,2006100100,3
2006,4,2006100101,3
2006,4,2006100102,2
2006,4,2006100103,3
2006,4,2006100104,3
2006,4,2006100105,1
2006,4,2006100106,7
2006,4,2006100107,2
2006,4,2006100108,7
2006,4,2006100109,2
2006,4,2006100110,2
2006,4,2006100111,7
2006,4,2006100112,2
2006,4,2006100200,4
2006,5,2006100800,2
2006,5,2006100801,1
2006,5,2006100802,3
2006,5,2006100803,2
2006,5,2006100804,3
2006,5,2006100805,1
2006,5,2006100806,4
2006,5,2006100807,2
2006,5,2006100808,2
2006,5,2006100809,1
2006,5,2006100810,3
2006,5,2006100811,6
2006,5,2006100812,2
2006,5,2006100900,2
2006,6,2006101500,3
2006,6,2006101501,3
2006,6,2006101502,3
2006,6,2006101503,1
2006,6,2006101504,3
2006,6,2006101505,5
2006,6,2006101506,3
2006,6,2006101507,4
2006,6,2006101508,1
2006,6,2006101509,1
2006,6,2006101510,2
2006,6,2006101511,1
2006,6,2006101600,2
2006,7,2006102200,8
2006,7,2006102201,1
2006,7,2006102202,3
2006,7,2006102203,1
2006,7,2006102204,2
2006,7,2006102205,2
2006,7,2006102206,1
2006,7,2006102207,3
2006,7,2006102208,1
2006,7,2006102209,4
2006,7,2006102210,1
2006,7,2006102211,3
2006,7,2006102300,1
2006,8,2006102900,1
2006,8,2006102901,4
2006,8,2006102902,1
2006,8,2006102903,7
2006,8,2006102904,1
2006,8,2006102905,1
2006,8,2006102906,1
2006,8,2006102907,1
2006,8,2006102908,1
2006,8,2006102909,2
2006,8,2006102910,8
2006,8,2006102911,1
2006,8,2006102912,2
2006,8,2006103000,1
2006,9,2006110500,1
2006,9,2006110501,2
2006,9,2006110502,2
2006,9,2006110503,1
2006,9,2006110504,1
2006,9,2006110505,3
2006,9,2006110506,1
2006,9,2006110507,1
2006,9,2006110508,5
2006,9,2006110509,2
2006,9,2006110510,1
2006,9,2006110511,5
2006,9,2006110512,3
2006,9,2006110600,1
2006,10,2006111200,1
2006,10,2006111201,2
2006,10,2006111202,1
2006,10,2006111203,3
2006,10,2006111204,1
2006,10,2006111205,1
2006,10,2006111206,3
2006,10,2006111207,2
2006,10,2006111208,2
2006,10,2006111209,1
2006,10,2006111210,4
2006,10,2006111211,4
2006,10,2006111212,3
2006,10,2006111213,1
2006,10,2006111214,7
2006,10,2006111300,2
2006,11,2006111900,3
2006,11,2006111901,1
2006,11,2006111902,2
2006,11,2006111903,3
2006,11,2006111904,1
2006,11,2006111905,3
2006,11,2006111906,3
2006,11,2006111907,4
2006,11,2006111908,3
2006,11,2006111909,1
2006,11,2006111910,1
2006,11,2006111911,3
2006,11,2006111912,1
2006,11,2006111913,1
2006,11,2006111914,3
2006,11,2006112000,2
2006,12,2006112300,2
2006,12,2006112301,2
2006,12,2006112302,1
2006,12,2006112600,1
2006,12,2006112601,1
2006,12,2006112602,2
2006,12,2006112603,1
2006,12,2006112604,1
2006,12,2006112605,3
2006,12,2006112606,2
2006,12,2006112607,1
2006,12,2006112608,3
2006,12,2006112609,2
2006,12,2006112610,5
2006,12,2006112611,3
2006,12,2006112700,4
2006,13,2006113000,1
2006,13,2006120300,4
2006,13,2006120301,1
2006,13,2006120302,2
2006,13,2006120303,5
2006,13,2006120304,2
2006,13,2006120305,5
2006,13,2006120306,1
2006,13,2006120307,1
2006,13,2006120308,3
2006,13,2006120309,2
2006,13,2006120310,3
2006,13,2006120311,3
2006,13,2006120312,1
2006,13,2006120313,1
2006,13,2006120400,4
2006,14,2006120700,1
2006,14,2006121000,2
2006,14,2006121001,1
2006,14,2006121002,2
2006,14,2006121003,1
2006,14,2006121004,4
2006,14,2006121005,3
2006,14,2006121006,1
2006,14,2006121007,1
2006,14,2006121008,3
2006,14,2006121009,2
2006,14,2006121010,2
2006,14,2006121011,3
2006,14,2006121012,2
2006,14,2006121013,1
2006,14,2006121100,4
2006,15,2006121400,2
2006,15,2006121600,4
2006,15,2006121700,3
2006,15,2006121701,1
2006,15,2006121702,1
2006,15,2006121703,2
2006,15,2006121704,2
2006,15,2006121705,2
2006,15,2006121706,1
2006,15,2006121707,6
2006,15,2006121708,3
2006,15,2006121709,1
2006,15,2006121710,1
2006,15,2006121711,1
2006,15,2006121712,1
2006,15,2006121800,3
2006,16,2006122100,3
2006,16,2006122300,2
2006,16,2006122400,2
2006,16,2006122401,8
2006,16,2006122402,1
2006,16,2006122403,5
2006,16,2006122404,3
2006,16,2006122405,3
2006,16,2006122406,2
2006,16,2006122407,1
2006,16,2006122408,5
2006,16,2006122409,2
2006,16,2006122410,4
2006,16,2006122411,3
2006,16,2006122500,1
2006,16,2006122501,4
2006,17,2006123000,3
2006,17,2006123100,1
2006,17,2006123101,1
2006,17,2006123102,5
2006,17,2006123103,7
2006,17,2006123104,2
2006,17,2006123105,2
2006,17,2006123106,3
2006,17,2006123107,1
2006,17,2006123108,3
2006,17,2006123109,1
2006,17,2006123110,5
2006,17,2006123111,1
2006,17,2006123112,2
2006,17,2006123113,3
2006,17,2006123114,2
2007,1,2007090600,3
2007,1,2007090900,2
2007,1,2007090901,1
2007,1,2007090902,3
2007,1,2007090903,1
2007,1,2007090904,1
2007,1,2007090905,2
2007,1,2007090906,3
2007,1,2007090907,5
2007,1,2007090908,3
2007,1,2007090909,2
2007,1,2007090910,2
2007,1,2007090911,2
2007,1,2007090912,3
2007,1,2007091000,3
2007,1,2007091001,5
2007,2,2007091600,2
2007,2,2007091601,6
2007,2,2007091602,3
2007,2,2007091603,3
2007,2,2007091604,1
2007,2,2007091605,5
2007,2,2007091606,1
2007,2,2007091607,1
2007,2,2007091608,3
2007,2,2007091609,3
2007,2,2007091610,4
2007,2,2007091611,1
2007,2,2007091612,1
2007,2,2007091613,3
2007,2,2007091614,1
2007,2,2007091700,3
2007,3,2007092300,2
2007,3,2007092301,4
2007,3,2007092302,3
2007,3,2007092303,2
2007,3,2007092304,3
2007,3,2007092305,2
2007,3,2007092306,2
2007,3,2007092307,2
2007,3,2007092308,1
2007,3,2007092309,2
2007,3,2007092310,3
2007,3,2007092311,7
2007,3,2007092312,5
2007,3,2007092313,3
2007,3,2007092314,3
2007,3,2007092400,3
2007,4,2007093000,3
2007,4,2007093001,2
2007,4,2007093002,1
2007,4,2007093003,2
2007,4,2007093004,5
2007,4,2007093005,1
2007,4,2007093006,1
2007,4,2007093007,1
2007,4,2007093008,1
2007,4,2007093009,2
2007,4,2007093010,2
2007,4,2007093011,2
2007,4,2007093012,1
2007,4,2007100100,1
2007,5,2007100700,4
2007,5,2007100701,1
2007,5,2007100702,1
2007,5,2007100703,4
2007,5,2007100704,3
2007,5,2007100705,1
2007,5,2007100706,6
2007,5,2007100707,4
2007,5,2007100708,1
2007,5,2007100709,1
2007,5,2007100710,1
2007,5,2007100711,1
2007,5,2007100712,3
2007,5,2007100800,3
2007,6,2007101400,1
2007,6,2007101401,4
2007,6,2007101402,1
2007,6,2007101403,3
2007,6,2007101404,2
2007,6,2007101405,3
2007,6,2007101406,2
2007,6,2007101407,3
2007,6,2007101408,5
2007,6,2007101409,3
2007,6,2007101410,1
2007,6,2007101411,1
2007,6,2007101500,4
2007,7,2007102100,1
2007,7,2007102101,3
2007,7,2007102102,1
2007,7,2007102103,5
2007,7,2007102104,1
2007,7,2007102105,3
2007,7,2007102106,5
2007,7,2007102107,1
2007,7,2007102108,2
2007,7,2007102109,3
2007,7,2007102110,4
2007,7,2007102111,1
2007,7,2007102112,3
2007,7,2007102200,1
2007,8,2007102800,2
2007,8,2007102801,1
2007,8,2007102802,2
2007,8,2007102803,1
2007,8,2007102804,2
2007,8,2007102805,3
2007,8,2007102806,3
2007,8,2007102807,2
2007,8,2007102808,1
2007,8,2007102809,4
2007,8,2007102810,1
2007,8,2007102811,1
2007,8,2007102900,3
2007,9,2007110400,2
2007,9,2007110401,6
2007,9,2007110402,1
2007,9,2007110403,7
2007,9,2007110404,3
2007,9,2007110405,3
2007,9,2007110406,3
2007,9,2007110407,2
2007,9,2007110408,1
2007,9,2007110409,3
2007,9,2007110410,4
2007,9,2007110411,1
2007,9,2007110412,2
2007,9,2007110500,1
2007,10,2007111100,4
2007,10,2007111101,1
2007,10,2007111102,5
2007,10,2007111103,2
2007,10,2007111104,2
2007,10,2007111105,4
2007,10,2007111106,1
2007,10,2007111107,3
2007,10,2007111108,1
2007,10,2007111109,2
2007,10,2007111110,5
2007,10,2007111111,3
2007,10,2007111112,1
2007,10,2007111200,1
2007,11,2007111800,1
2007,11,2007111801,5
2007,11,2007111802,1
2007,11,2007111803,3
2007,11,2007111804,3
2007,11,2007111805,1
2007,11,2007111806,4
2007,11,2007111807,3
2007,11,2007111808,1
2007,11,2007111809,4
2007,11,2007111810,3
2007,11,2007111811,2
2007,11,2007111812,1
2007,11,2007111813,1
2007,11,2007111814,4
2007,11,2007111900,1
2007,12,2007112200,2
2007,12,2007112201,1
2007,12,2007112202,2
2007,12,2007112500,2
2007,12,2007112501,5
2007,12,2007112502,1
2007,12,2007112503,3
2007,12,2007112504,1
2007,12,2007112505,5
2007,12,2007112506,2
2007,12,2007112507,2
2007,12,2007112508,1
2007,12,2007112509,7
2007,12,2007112510,3
2007,12,2007112511,7
2007,12,2007112600,1
2007,13,2007112900,2
2007,13,2007120200,1
2007,13,2007120201,1
2007,13,2007120202,3
2007,13,2007120203,3
2007,13,2007120204,1
2007,13,2007120205,7
2007,13,2007120206,4
2007,13,2007120207,1
2007,13,2007120208,3
2007,13,2007120209,2
2007,13,2007120210,1
2007,13,2007120211,2
2007,13,2007120212,3
2007,13,2007120213,2
2007,13,2007120300,5
2007,14,2007120600,1
2007,14,2007120900,1
2007,14,2007120901,1
2007,14,2007120902,2
2007,14,2007120903,1
2007,14,2007120904,2
2007,14,2007120905,1
2007,14,2007120906,2
2007,14,2007120907,2
2007,14,2007120908,3
2007,14,2007120909,1
2007,14,2007120910,1
2007,14,2007120911,1
2007,14,2007120912,1
2007,14,2007120913,1
2007,14,2007121000,2
2007,15,2007121300,1
2007,15,2007121500,3
2007,15,2007121600,2
2007,15,2007121601,1
2007,15,2007121602,4
2007,15,2007121603,3
2007,15,2007121604,1
2007,15,2007121605,3
2007,15,2007121606,4
2007,15,2007121607,3
2007,15,2007121608,1
2007,15,2007121609,3
2007,15,2007121610,2
2007,15,2007121611,1
2007,15,2007121612,1
2007,15,2007121701,3
2007,16,2007122000,4
2007,16,2007122200,1
2007,16,2007122300,4
2007,16,2007122301,3
2007,16,2007122302,1
2007,16,2007122303,1
2007,16,2007122304,2
2007,16,2007122305,1
2007,16,2007122306,1
2007,16,2007122307,1
2007,16,2007122308,3
2007,16,2007122309,5
2007,16,2007122310,1
2007,16,2007122311,1
2007,16,2007122312,4
2007,16,2007122400,1
2007,17,2007122900,6
2007,17,2007123000,6
2007,17,2007123001,1
2007,17,2007123002,1
2007,17,2007123003,1
2007,17,2007123004,2
2007,17,2007123005,3
2007,17,2007123006,3
2007,17,2007123007,4
2007,17,2007123008,1
2007,17,2007123009,5
2007,17,2007123010,1
2007,17,2007123011,2
2007,17,2007123012,3
2007,17,2007123013,2
2007,17,2007123014,2
2008,1,2008090400,1
2008,1,2008090700,1
2008,1,2008090701,1
2008,1,2008090702,1
2008,1,2008090703,2
2008,1,2008090704,1
2008,1,2008090705,6
2008,1,2008090706,1
2008,1,2008090707,1
2008,1,2008090708,3
2008,1,2008090709,2
2008,1,2008090710,7
2008,1,2008090711,4
2008,1,2008090712,2
2008,1,2008090800,2
2008,1,2008090801,1
2008,2,2008091400,2
2008,2,2008091401,2
2008,2,2008091402,3
2008,2,2008091403,3
2008,2,2008091404,1
2008,2,2008091405,2
2008,2,2008091406,1
2008,2,2008091407,5
2008,2,2008091408,4
2008,2,2008091409,1
2008,2,2008091410,1
2008,2,2008091411,3
2008,2,2008091413,1
2008,2,2008091414,1
2008,2,2008091500,8
2008,3,2008092100,1
2008,3,2008092101,4
2008,3,2008092102,4
2008,3,2008092103,2
2008,3,2008092104,1
2008,3,2008092105,8
2008,3,2008092106,2
2008,3,2008092107,3
2008,3,2008092108,1
2008,3,2008092109,1
2008,3,2008092110,1
2008,3,2008092111,3
2008,3,2008092112,6
2008,3,2008092113,2
2008,3,2008092114,3
2008,3,2008092200,2
2008,4,2008092800,1
2008,4,2008092801,3
2008,4,2008092802,7
2008,4,2008092803,4
2008,4,2008092804,2
2008,4,2008092805,1
2008,4,2008092806,4
2008,4,2008092807,1
2008,4,2008092808,3
2008,4,2008092809,3
2008,4,2008092810,3
2008,4,2008092811,3
2008,4,2008092900,4
2008,5,2008100500,3
2008,5,2008100501,1
2008,5,2008100502,1
2008,5,2008100503,2
2008,5,2008100504,3
2008,5,2008100505,2
2008,5,2008100506,1
2008,5,2008100507,2
2008,5,2008100508,3
2008,5,2008100509,1
2008,5,2008100510,1
2008,5,2008100511,3
2008,5,2008100512,5
2008,5,2008100600,5
2008,6,2008101200,3
2008,6,2008101201,6
2008,6,2008101202,1
2008,6,2008101203,3
2008,6,2008101204,2
2008,6,2008101205,2
2008,6,2008101206,1
2008,6,2008101207,4
2008,6,2008101208,2
2008,6,2008101209,4
2008,6,2008101210,4
2008,6,2008101211,3
2008,6,2008101212,1
2008,6,2008101300,3
2008,7,2008101900,5
2008,7,2008101901,3
2008,7,2008101902,5
2008,7,2008101903,1
2008,7,2008101904,1
2008,7,2008101905,2
2008,7,2008101906,1
2008,7,2008101907,2
2008,7,2008101908,1
2008,7,2008101909,3
2008,7,2008101910,4
2008,7,2008101911,1
2008,7,2008101912,1
2008,7,2008102000,1
2008,8,2008102600,1
2008,8,2008102601,3
2008,8,2008102602,2
2008,8,2008102603,3
2008,8,2008102604,3
2008,8,2008102605,6
2008,8,2008102606,2
2008,8,2008102607,6
2008,8,2008102608,2
2008,8,2008102609,3
2008,8,2008102610,4
2008,8,2008102611,1
2008,8,2008102612,1
2008,8,2008102700,3
2008,9,2008110200,3
2008,9,2008110201,3
2008,9,2008110202,1
2008,9,2008110203,4
2008,9,2008110204,2
2008,9,2008110205,2
2008,9,2008110206,2
2008,9,2008110207,4
2008,9,2008110208,1
2008,9,2008110209,1
2008,9,2008110210,1
2008,9,2008110211,2
2008,9,2008110212,4
2008,9,2008110300,2
2008,10,2008110600,5
2008,10,2008110900,1
2008,10,2008110901,2
2008,10,2008110902,3
2008,10,2008110903,1
2008,10,2008110904,1
2008,10,2008110905,4
2008,10,2008110906,1
2008,10,2008110907,1
2008,10,2008110908,1
2008,10,2008110909,4
2008,10,2008110910,2
2008,10,2008110911,4
2008,10,2008111000,2
2008,11,2008111300,3
